PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
Malik Monk,SAC,26.0,72,26.0,5.5,12.4,0.443,2.1,5.9,0.35,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,0.1
Malik Williams,TOR,25.0,7,15.2,1.3,4.9,0.265,0.1,0.7,0.2,0.0,0.3,0.0,2.1,3.3,5.4,0.3,0.4,0.6,0.4,2.1,2.7,-8.0
Mamadi Diakite,NYK,27.0,6,4.1,0.7,1.0,0.667,0.0,0.2,0.0,0.7,1.0,0.667,0.2,0.5,0.7,0.3,0.2,0.2,0.2,0.3,2.0,0.5
Maozinha Pereira,MEM,23.0,7,17.4,2.6,5.0,0.514,0.7,1.9,0.385,1.0,1.4,0.7,1.6,3.7,5.3,0.3,0.9,0.6,0.7,1.4,6.9,1.3
MarJon Beauchamp,MIL,23.0,48,12.7,1.7,3.5,0.488,0.6,1.6,0.4,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4,-0.3
Marcus Morris Sr.,CLE,34.0,49,16.7,2.4,5.4,0.439,1.0,2.4,0.403,0.7,0.9,0.818,0.5,2.3,2.7,0.7,0.3,0.3,0.6,1.5,6.4,-1.2
Marcus Sasser,DET,23.0,71,19.0,3.1,7.2,0.428,1.3,3.4,0.375,0.8,0.9,0.879,0.2,1.6,1.8,3.3,0.6,0.2,1.3,1.5,8.3,-3.5
Marcus Smart,MEM,30.0,20,30.2,5.1,11.9,0.43,2.1,6.7,0.313,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,-1.0
Mark Williams,CHA,22.0,19,26.8,5.2,7.9,0.649,0.0,0.0,0.0,2.4,3.4,0.719,4.0,5.7,9.7,1.2,0.8,1.1,0.9,2.6,12.7,-1.1
Markelle Fultz,ORL,26.0,43,21.2,3.6,7.6,0.472,0.1,0.4,0.222,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1.0,0.3,1.2,1.5,7.8,0.3
Markieff Morris,DAL,34.0,26,8.3,0.9,2.6,0.338,0.6,1.6,0.357,0.2,0.2,0.833,0.2,1.3,1.5,0.6,0.2,0.1,0.5,0.5,2.5,-2.2
Markquis Nowell,TOR,24.0,1,3.5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0
Marques Bolden,CHA,26.0,11,11.0,1.5,2.3,0.68,0.0,0.1,0.0,0.3,0.4,0.75,0.9,2.2,3.1,0.4,0.3,0.6,0.3,0.9,3.4,-1.5
Marvin Bagley III,WAS,25.0,50,21.1,4.8,8.2,0.586,0.2,0.5,0.391,1.9,2.5,0.762,2.6,3.6,6.2,1.1,0.4,0.7,1.2,1.6,11.7,-2.7
Mason Jones,SAC,25.0,5,5.5,0.4,1.6,0.25,0.4,1.4,0.286,0.2,0.4,0.5,0.2,0.8,1.0,1.0,0.2,0.0,0.4,0.6,1.4,-1.4
Mason Plumlee,LAC,34.0,46,14.7,1.9,3.3,0.569,0.0,0.1,0.0,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,0.2
Matisse Thybulle,POR,27.0,65,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,-3.6
Matt Hurt,MEM,24.0,8,14.2,1.5,4.3,0.353,0.6,2.5,0.25,0.4,0.4,1.0,1.1,0.9,2.0,0.5,0.4,0.4,0.3,1.0,4.0,-1.5
Matt Ryan,NOP,27.0,28,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4,0.5
Max Christie,LAL,21.0,67,14.1,1.5,3.6,0.427,0.6,1.8,0.356,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2,-0.3
Max Strus,CLE,28.0,70,32.0,4.3,10.4,0.418,2.4,6.8,0.351,1.1,1.4,0.794,0.9,3.9,4.8,4.0,0.9,0.4,1.6,2.4,12.2,3.6
Maxi Kleber,DAL,32.0,43,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,2.9
